# condition	sample	pool	bam	fastq
B100K0	B31	pool1	/storage/gge/Fabian/nih/data/ont/subset/bams/B31_primary_aln_sorted_subset.bam	/storage/gge/Fabian/nih/data/ont/subset/fastqs/B31_subset.fastq
B100K0	B32	pool1	/storage/gge/Fabian/nih/data/ont/subset/bams/B32_primary_aln_sorted_subset.bam	/storage/gge/Fabian/nih/data/ont/subset/fastqs/B32_subset.fastq
B100K0	B33	pool1	/storage/gge/Fabian/nih/data/ont/subset/bams/B33_primary_aln_sorted_subset.bam	/storage/gge/Fabian/nih/data/ont/subset/fastqs/B33_subset.fastq
B100K0	B34	pool1	/storage/gge/Fabian/nih/data/ont/subset/bams/B34_primary_aln_sorted_subset.bam	/storage/gge/Fabian/nih/data/ont/subset/fastqs/B34_subset.fastq
B100K0	B35	pool1	/storage/gge/Fabian/nih/data/ont/subset/bams/B35_primary_aln_sorted_subset.bam	/storage/gge/Fabian/nih/data/ont/subset/fastqs/B35_subset.fastq
